"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 13_0_0; en-US; Valve Steam GameOverlay/1676336721; ) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 13_2_1; en-US; Valve Steam Tenfoot/1676336721; ) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 13_2_1; en-US; Valve Steam GameOverlay/1676336721; ) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 13_2_0; en-US; Valve Steam GameOverlay/1675222618; ) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 13_2_0; en-US; Valve Steam GameOverlay/1675222618; ) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/420.0.4183.121 Safari/537.36"
"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 13_1_0; en-US; Valve Steam Tenfoot/1674790765; ) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 13_0_1; en-US; Valve Steam GameOverlay/1671236931; ) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 13_1_0; en-US; Valve Steam GameOverlay/1671236931; ) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 13_0_0; en-US; Valve Steam GameOverlay/1666144119; ) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:43.0) Gecko/20100101 Firefox/43.0 SeaMonkey/8650
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.5; rv:31.0) Gecko/20100101 Firefox/30.0 TenFourFox/7477
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.5; FPR12; rv:45.0) Gecko/20100101 Firefox/45.0 TenFourFox/7450
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.5; FPR14; rv:45.0) Gecko/20100101 Firefox/45.0 TenFourFox/7450
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.5; rv:17.0) Gecko/17.0 Firefox/17.0 TenFourFox/7450
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.4; rv:38.0) Gecko/20100101 Firefox/38.0 TenFourFox/7450
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.4; rv:45.0) Gecko/20100101 Firefox/45.0 TenFourFox/7450
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.4; FPR21; rv:45.0) Gecko/20100101 Firefox/45.0 TenFourFox/7450
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.4; FPR30; rv:45.0) Gecko/20100101 Firefox/45.0 TenFourFox/7450
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.4; FPR27; rv:45.0) Gecko/20100101 Firefox/45.0 TenFourFox/7450
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.5; rv:17.0) Gecko/20130328 Firefox/17.0 TenFourFox/7450
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.5; rv:31.0) Gecko/20100101 Firefox/31.0 TenFourFox/7450
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.5; rv:17.0) Gecko/20130105 Firefox/17.0 TenFourFox/7450
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.5; FPR2; rv:45.0) Gecko/20100101 Firefox/45.0 TenFourFox/7450
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.4; rv:17.0) Gecko/20130328 Firefox/17.0 TenFourFox/7450
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.4; rv:10.0.9) Gecko/20121011 Firefox/10.0.9 TenFourFox/7450
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.4; FPR16; rv:45.0) Gecko/20100101 Firefox/45.0 TenFourFox/7450 AlexaToolbar/alxf-2.21
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.5; FPR8; rv:45.0) Gecko/20100101 Firefox/45.0 TenFourFox/7450
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.5; rv:10.0.6) Gecko/20120714 Firefox/10.0.6 TenFourFox/7450
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.5; FPR6; rv:45.0) Gecko/20100101 Firefox/45.0 TenFourFox/7450
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.5; FPR10; rv:45.0) Gecko/20100101 Firefox/45.0 TenFourFox/7450
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.4; FPR7; rv:45.0) Gecko/20100101 Firefox/45.0 TenFourFox/7450
